trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999995000000417}",30,0,-284.3600024961552,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 5}",0
2,False,"{'a': 0.4, 'e': 0.9999980000006666}",25,0,-261.0602014371081,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
3,False,"{'a': 0.4, 'e': 0.999995500003375}",25,0,-115.52490182846911,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9999920000106667}",25,0,-117.9417297855293,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9999875000260416}",25,0,-331.12352497714477,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 6}",0
6,False,"{'a': 0.4, 'e': 0.999982000054}",25,0,-234.61446405153154,"{0: 10, 1: 3, 2: 5, 3: 5, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9999755001000415}",25,0,-183.3054906942362,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.9999680001706663}",30,0,-210.33219499763823,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.9999595002733742}",20,0,-62.98462029342125,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,0,-137.95799826674096,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9999395006100392}",25,0,-155.05338017619135,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9999280008639958}",25,0,-102.99030065258772,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9999155011900349}",20,0,-80.13914050829752,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.9999020016006562}",20,0,-107.58510175596741,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.9998875021093592}",20,0,-127.21956178544913,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9998720027306434}",25,0,-70.95261523583152,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.9998555034800082}",25,6,-68.86507497704223,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
18,False,"{'a': 0.4, 'e': 0.9998380043739528}",20,0,-82.8341081761168,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.9998195054299763}",25,18,-20.32083284420269,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
