trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.85}",20,0,-59.45052576215414,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.7999999999999999}",20,0,-107.79446515934728,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.7499999999999999}",20,0,-104.75748847933656,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.6999999999999998}",30,0,-71.55748349944267,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.6499999999999998}",20,0,-54.13133228847898,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.5999999999999998}",20,0,-79.86604175513797,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.5499999999999997}",25,0,-129.39896632389517,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.4999999999999997}",20,0,-138.8808361759176,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.44999999999999973}",20,0,-38.251969379038776,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.39999999999999974}",20,0,-89.01147051235502,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.34999999999999976}",20,0,-72.1598824887488,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.29999999999999977}",25,0,-83.18907371182095,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.24999999999999978}",20,0,-118.39907922327997,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.1999999999999998}",20,0,-78.03751462291272,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.1499999999999998}",30,0,-229.4934101282692,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.9, 'e': 0.0999999999999998}",25,8,-111.39016306004784,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.049999999999999795}",25,0,-135.41970043772776,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.9, 'e': -2.0816681711721685e-16}",25,0,-90.83820671256767,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.9, 'e': -0.05000000000000021}",20,0,-121.91018330236376,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.9, 'e': -0.10000000000000021}",25,0,-18.939165624062248,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-169.88956318542265,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
